source,family,workload,operations_kind,operations,threads,implementation,throughput_total_mops_median,wall_time_ns_median,throughput_vs_new_delete,throughput_vs_lock_based,latency_speedup_vs_new_delete,latency_speedup_vs_lock_based
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,49152.0,1,new/delete,39.139316936408775,2511643.22142878,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,49152.0,1,std::allocator,38.91047490345308,2526414.864660251,0.9941531418821767,,0.9941531205194767,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,61440.0,1,mmap,49.26670354551966,2494179.9892086047,1.2587625264302564,,1.2587622590189393,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,61440.0,1,new/delete,39.13899763542838,3139579.637616057,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,AllocateRetireReclaim,operations,61440.0,1,std::allocator,38.494666198866376,3192130.560185652,0.983537354672089,,0.9835373517533885,
libVentra_deque_concurrent_deque_benchmark.json,arena,ConstructDestroy,,,1,mmap,0.0013744923250108686,727541.3537343192,0.2028759597281323,,0.20287598750329927,
libVentra_deque_concurrent_deque_benchmark.json,arena,ConstructDestroy,,,1,new/delete,0.006775037943641931,147600.67058833718,1.0,,1.0,
libVentra_deque_concurrent_deque_benchmark.json,arena,ConstructDestroy,,,1,std::allocator,0.006891630430119494,145103.54413597606,1.0172091267159589,,1.0172092726420319,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,1,barrier,,14.283327983061735,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,2,barrier,,1225.4097121253326,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,4,barrier,,1084.1295996503131,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,8,barrier,,1469.3687680886167,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,12,barrier,,3526.036466929907,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,16,barrier,,7286.287485625778,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,24,barrier,,11678.706559550707,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,32,barrier,,17245.314509528005,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,48,barrier,,85046.55809041084,,,,
libVentra_deque_concurrent_deque_benchmark.json,barrier,BarrierOverhead,,,64,barrier,,119405.16574839567,,,,
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,mmap,26.476555695741595,618811.6280706406,1.231740698992771,0.1602237361976966,1.2317407054526188,0.16022379674442006
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,new/delete,21.495234928416522,762215.4713020144,1.0,0.13007911188508753,1.0,0.13007916035830266
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,std::allocator,20.312054598283613,806614.7770273141,0.9449561573030888,0.12291905771233087,0.9449559975966122,0.12291908274290958
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,1,std::deque + mutex,165.24739919354238,99148.34851907397,7.687629362686643,1.0,7.687626497937894,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,mmap,8.356257051749475,1960686.4762576479,1.1208879435948058,0.2265707059309994,1.1208899466346576,0.22657070635984766
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,new/delete,7.455033395176041,2197713.7597397296,1.0,0.20213501913881174,1.0,0.20213465830441252
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,std::allocator,7.489749481664576,2187525.134848494,1.0046567311839274,0.2030763075857992,1.0046576035762629,0.20307612141181783
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,2,std::deque + mutex,36.88145392588536,444234.11987589597,4.947188291570954,1.0,4.947197122890283,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,mmap,4.854008681802107,3375356.651440816,1.033438681265062,0.1183892409915997,1.0334527293955094,0.11838927546191409
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,new/delete,4.696948904467341,3488271.5441147983,1.0,0.11455855401761818,1.0,0.11455703013253711
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,std::allocator,4.496805513808345,3643490.2755389134,0.9573886378732721,0.10967705798765913,0.9573983406882686,0.10967671056306702
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,4,std::deque + mutex,41.00042065601656,399606.0283896307,8.729160459254821,1.0,8.729276578164141,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,8,mmap,3.83186678711135,4275722.8281246275,1.0000613885432497,0.152303717405625,1.0000613727427934,0.15230371478365062
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,8,new/delete,3.8316315688310705,4275985.240962014,1.0,0.15229436827621143,1.0,0.15229436806057076
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,8,std::allocator,3.683636511732308,4447778.701922709,0.961375446871602,0.1464120663575711,0.9613754477293505,0.1464120662808897
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,8,std::deque + mutex,25.159377934985507,651208.4701086372,6.566230986206476,1.0,6.566230995503908,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,12,mmap,3.0919200720478375,5298973.128967875,0.9976035191126298,0.14756441459077155,0.9976046694198769,0.14756440849056984
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,12,new/delete,3.0993475993329556,5286280.336588807,1.0,0.14791889940607905,1.0,0.14791872273049894
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,12,std::allocator,2.9961056095284597,5468439.334656126,0.9666891219859574,0.1429915909919917,0.9666890337590673,0.1429914071512214
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,12,std::deque + mutex,20.953019605861,781939.8353835684,6.7604613339821995,1.0,6.760469408743838,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,16,mmap,3.233678884461108,5066689.913949473,1.0106691107423442,0.15291005401785202,1.0106661394852203,0.152909604342761
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,16,new/delete,3.1995426100298507,5120731.935300017,1.0,0.1512958617143631,1.0,0.15129586157961622
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,16,std::allocator,3.0848128276717177,5311181.589221043,0.9641418176465346,0.14587066711568478,0.9641417543870953,0.1458706574148783
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,16,std::deque + mutex,21.147588399148567,774745.5500694716,6.6095661088730635,1.0,6.609566114759665,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,24,mmap,3.1853173125500387,5143686.145540942,1.033832972037503,0.15431597906482217,1.0338157904981207,0.15431341276796715
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,24,new/delete,3.0810753755244797,5317623.958626641,1.0,0.14926587102430336,1.0,0.1492658693998229
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,24,std::allocator,3.1187953437396105,5253325.197626187,1.0122424684948546,0.15109325374767543,1.0122396308207817,0.15109282853541972
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,24,std::deque + mutex,20.64152611967689,793739.7633257334,6.699455094039418,1.0,6.699455166950487,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,32,mmap,3.138589838464598,5220193.110733815,1.027278707739796,0.1529100752032595,1.0272759103242597,0.1529096647434134
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,32,new/delete,3.055246657813125,5362578.629897508,1.0,0.14884964912753823,1.0,0.14884965490444282
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,32,std::allocator,3.053970475337693,5364819.595950515,0.9995822980536878,0.14878747433938977,0.9995822849188258,0.14878747815876167
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,32,std::deque + mutex,20.525722940705833,798217.9784581838,6.718188493297517,1.0,6.718188232562388,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,48,mmap,3.0823569457995856,5315448.270220109,1.0186517465828935,0.15419519984467944,1.018646265612743,0.15419418615740935
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,48,new/delete,3.0259182847714845,5414561.530517429,1.0,0.15137185045029686,1.0,0.15137166979614597
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,48,std::allocator,3.1069369109100857,5273361.582107681,1.0267748889804271,0.1554248149408654,1.0267760793966478,0.15542480964501074
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,48,std::deque + mutex,19.98996693090601,819611.220088399,6.606248103760555,1.0,6.6062559879712754,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,64,mmap,3.010710240577664,5441976.083007116,1.022552337792748,0.15438159814309707,1.0225391665818142,0.1543797701774596
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,64,new/delete,2.944309185265271,5564633.688476262,1.0,0.1509767201514015,1.0,0.1509768771924176
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,64,std::allocator,2.9633553849990886,5528871.462501264,1.0064688178229153,0.1519533610495622,1.0064682686543809,0.15195343619469762
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,8192.0,64,std::deque + mutex,19.501742933034166,840131.0170058704,6.623537714935034,1.0,6.62353082535623,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,1,mmap,25.919026591693047,2528490.0499991635,1.2342134141354812,0.15783838997087382,1.234213752865986,0.15783838795539604
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,1,new/delete,21.000441491594323,3120697.193693772,1.0,0.12788581631275941,1.0,0.1278857795814357
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,1,std::allocator,20.78376817191141,3153230.8526810277,0.9896824397825332,0.12656634670199265,0.9896824366793208,0.1265663099527898
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,1,std::deque + mutex,164.2124365084814,399092.7934531267,7.819475441704851,1.0,7.8194776876127605,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,2,mmap,9.155396906977568,7158343.540818257,1.2057270664748656,0.24035885682523783,1.205699942953856,0.2403535453375383
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,2,new/delete,7.593258177196622,8630814.398808677,1.0,0.19934764965338722,1.0,0.19934772887912214
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,2,std::allocator,7.4460264799877365,8801476.339741409,0.9806102079274693,0.19548234017646035,0.9806098506267477,0.19548234663893735
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,2,std::deque + mutex,38.09053274718457,1720533.2487797355,5.016362127864237,1.0,5.016360134237431,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,4,mmap,4.64219586065164,14117473.595001685,1.0065312153842323,0.11432982375154918,1.0065308806271867,0.11432970296878782
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,4,new/delete,4.612073415805125,14209673.1298081,1.0,0.11358795634361427,1.0,0.11358787412219984
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,4,std::allocator,4.594501016853569,14264013.69021436,0.9961899134364738,0.11315517639737106,0.9961903737905454,0.11315514677986767
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,4,std::deque + mutex,40.60354252569849,1614046.5627862478,8.803750258301204,1.0,8.803756630960294,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,8,mmap,3.7126876721630664,17651925.134864062,1.0019465214894714,0.14909338000429476,1.0019483769030104,0.14909319377934266
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,8,new/delete,3.7054748856694144,17686317.7380905,1.0,0.14880373034546382,1.0,0.14880326892707268
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,8,std::allocator,3.6071099200392425,18168566.703946598,0.9734541540112471,0.14485360943716122,0.9734569614810978,0.14485357802820284
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,8,std::deque + mutex,24.901760709000758,2631781.894710737,6.720261633753353,1.0,6.7202824723567876,1.0
libVentra_deque_concurrent_deque_benchmark.json,deque,ConcurrentPhasedPushBackPopFront,total_operations,32768.0,12,mmap,2.9604172850745023,22137419.8802143,1.0015661623062946,0.1456534547920356,1.0015715934204146,0.14565345394791976
