source,family,implementation,workload,operations_kind,operations,threads,n,expected_repetitions,reported_real_time_ns_mean,reported_real_time_ns_median,reported_real_time_ns_stddev,reported_real_time_ns_cv,reported_real_time_ns_q25,reported_real_time_ns_q75,reported_real_time_ns_ci95_low,reported_real_time_ns_ci95_high,wall_time_ns_mean,wall_time_ns_median,wall_time_ns_stddev,wall_time_ns_cv,wall_time_ns_q25,wall_time_ns_q75,wall_time_ns_ci95_low,wall_time_ns_ci95_high,cpu_time_ns_mean,cpu_time_ns_median,cpu_time_ns_stddev,cpu_time_ns_cv,cpu_time_ns_q25,cpu_time_ns_q75,cpu_time_ns_ci95_low,cpu_time_ns_ci95_high,ns_per_operation_mean,ns_per_operation_median,ns_per_operation_stddev,ns_per_operation_cv,ns_per_operation_q25,ns_per_operation_q75,ns_per_operation_ci95_low,ns_per_operation_ci95_high,throughput_total_mops_mean,throughput_total_mops_median,throughput_total_mops_stddev,throughput_total_mops_cv,throughput_total_mops_q25,throughput_total_mops_q75,throughput_total_mops_ci95_low,throughput_total_mops_ci95_high,throughput_per_thread_mops_mean,throughput_per_thread_mops_median,throughput_per_thread_mops_stddev,throughput_per_thread_mops_cv,throughput_per_thread_mops_q25,throughput_per_thread_mops_q75,throughput_per_thread_mops_ci95_low,throughput_per_thread_mops_ci95_high,effective_batch_items,logical_operations
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,1024.0,1,30,30,41683.89647719748,41687.50859804239,368.0082038949516,0.008828546153219258,41482.71423455326,41875.68727610487,41532.9185574499,41811.730952960825,41683.89647719748,41687.50859804239,368.0082038949516,0.008828546153219258,41482.71423455326,41875.68727610487,41532.9185574499,41811.730952960825,41578.17991799791,41572.64037497324,365.1630241211957,0.00878256395160597,41383.692261755896,41761.37714951482,41426.42327442308,41708.84511582927,20.353465076756585,20.355228807637886,0.1796915058080817,0.00882854615321925,20.255231559840464,20.447112927785582,20.279745389379833,20.415884254375403,49.13537966084482,49.127439231978386,0.43316369810503935,0.008815718960450416,48.906663423249775,49.36997339604686,48.981468916081184,49.31028381602429,49.13537966084482,49.127439231978386,0.43316369810503935,0.008815718960450416,48.906663423249775,49.36997339604686,48.981468916081184,49.31028381602429,1024.0,2048.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,2048.0,1,30,30,84555.54629499247,84433.63633164548,904.6685234438951,0.010699103288715565,84073.60178025415,84928.79438978904,84123.82864840823,84674.03572267183,84555.54629499247,84433.63633164548,904.6685234438951,0.010699103288715565,84073.60178025415,84928.79438978904,84123.82864840823,84674.03572267183,84348.72079331588,84226.0721480542,900.3619020736019,0.010674280458619,83867.67586087142,84718.61296556857,83919.5066760272,84470.76657296353,20.643443919675896,20.61368074503064,0.2208663387314194,0.01069910328871555,20.525781684632364,20.73456894281959,20.53804410361529,20.672372002605428,48.44681385397829,48.511472696017506,0.511005711265284,0.010547767141209472,48.22869579881178,48.71921686313887,48.37374730701914,48.690128182666854,48.44681385397829,48.511472696017506,0.511005711265284,0.010547767141209472,48.22869579881178,48.71921686313887,48.37374730701914,48.690128182666854,2048.0,4096.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,4096.0,1,30,30,168116.934603782,168018.94163889327,1511.345067642975,0.008989844308099676,166886.0613387489,169102.65042879008,167347.69366364495,168892.40924242156,168116.934603782,168018.94163889327,1511.345067642975,0.008989844308099676,166886.0613387489,169102.65042879008,167347.69366364495,168892.40924242156,167690.48195966324,167592.56741302315,1502.654560460558,0.008960881636812345,166458.40483563746,168585.9629585578,166940.28346830374,168460.46355407743,20.52208674362573,20.510124711778964,0.18449036470251154,0.008989844308099673,20.371833659515246,20.642413382420663,20.42818526167541,20.616749175100292,48.731788634245234,48.756446522457495,0.4373549543493434,0.008974736339597465,48.44395804355758,49.087389047101354,48.50425640536129,48.951987098976694,48.731788634245234,48.756446522457495,0.4373549543493434,0.008974736339597465,48.44395804355758,49.087389047101354,48.50425640536129,48.951987098976694,4096.0,8192.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,8192.0,1,30,30,336418.8947926575,336720.25168774027,3058.673492436617,0.0090918599988914,334360.4773384747,338027.8599324407,334967.8625841759,337342.4214077587,336418.8947926575,336720.25168774027,3058.673492436617,0.0090918599988914,334360.4773384747,338027.8599324407,334967.8625841759,337342.4214077587,335362.1380263573,335723.6533269085,3039.5520698978326,0.009063492044110668,333291.8674059958,336919.14922853664,333905.9363548523,336255.2613307602,20.533379809122163,20.551773174300553,0.186686614528602,0.009091859998891394,20.407743978178388,20.631583247829635,20.444815831553704,20.5897474003759,48.70508117015314,48.657603213665894,0.44295113668649333,0.009094556995789123,48.46941500774321,49.001006881628776,48.567865321178814,48.91215519048551,48.70508117015314,48.657603213665894,0.44295113668649333,0.009094556995789123,48.46941500774321,49.001006881628776,48.567865321178814,48.91215519048551,8192.0,16384.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,16384.0,1,30,30,660176.8897971634,660395.3944866369,1865.1244714244206,0.0028251889762416133,658851.7865969554,661468.730988319,659123.9249045855,660760.7385930638,660176.8897971634,660395.3944866369,1865.1244714244206,0.0028251889762416133,658851.7865969554,661468.730988319,659123.9249045855,660760.7385930638,658131.6856146875,658310.4239544134,1906.9496613463596,0.002897519908292047,656778.395437231,659449.9092205943,657019.3602661646,658691.0095056512,20.14699981070445,20.15366804463613,0.05691908176954371,0.0028251889762415947,20.10656087026841,20.186423675180635,20.11486587233232,20.164817461946527,49.63556479895653,49.618759132155816,0.14021070473244918,0.002824803249451425,49.53825308728757,49.73500976291996,49.591324199267746,49.71447517215839,49.63556479895653,49.618759132155816,0.14021070473244918,0.002824803249451425,49.53825308728757,49.73500976291996,49.591324199267746,49.71447517215839,16384.0,32768.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,32768.0,1,30,30,1326605.6629769688,1325964.765267787,5226.2629246584365,0.003939575316549188,1323396.4646953354,1329891.4656482385,1324480.6507624814,1328236.8377857693,1326605.6629769688,1325964.765267787,5226.2629246584365,0.003939575316549188,1323396.4646953354,1329891.4656482385,1324480.6507624814,1328236.8377857693,1322661.2678117119,1322081.7671754134,5220.5328442224445,0.00394699154747277,1319303.6669848356,1326010.2127859427,1320493.1011451744,1324251.7347330754,20.242395980483533,20.23261665752849,0.07974644355252715,0.003939575316549175,20.19342750084435,20.292533350345437,20.209970867347437,20.26728573281508,49.40200766224437,49.42514446676514,0.19460170594727302,0.00393914569783766,49.27922099622806,49.52107176824856,49.34059932081327,49.48052655718658,49.40200766224437,49.42514446676514,0.19460170594727302,0.00393914569783766,49.27922099622806,49.52107176824856,49.34059932081327,49.48052655718658,32768.0,65536.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,49152.0,1,30,30,1990632.5048964606,1988841.9293793202,6777.489897302078,0.00340469166490105,1985780.5268361645,1994956.7090394227,1986217.2175147203,1994286.5536722308,1990632.5048964606,1988841.9293793202,6777.489897302078,0.00340469166490105,1985780.5268361645,1994956.7090394227,1986217.2175147203,1994286.5536722308,1984786.7894538136,1983107.9180789855,6689.017030340604,0.003370143869297584,1980037.53389846,1988884.420903864,1980547.1525424728,1988326.4491522696,20.24976099544739,20.231546319369713,0.06894419247743785,0.003404691664901037,20.200404122275437,20.293749074701157,20.2048463695752,20.286931901776434,49.383851304922565,49.427767194065744,0.16784215405015426,0.003398725486471401,49.27625729556705,49.50396044055832,49.29281800125612,49.49307644026378,49.383851304922565,49.427767194065744,0.16784215405015426,0.003398725486471401,49.27625729556705,49.50396044055832,49.29281800125612,49.49307644026378,49152.0,98304.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,AllocateRetireReclaim,operations,61440.0,1,30,30,2494880.475059698,2494179.9892086047,14473.281927169148,0.0058011925107646,2485599.019783065,2501489.1528783883,2486815.712230794,2498735.338128603,2494880.475059698,2494179.9892086047,14473.281927169148,0.0058011925107646,2485599.019783065,2501489.1528783883,2486815.712230794,2498735.338128603,2486949.8098320635,2486338.4964025905,14408.308576665198,0.005793566287386455,2477737.0125899953,2493436.40647466,2479574.4388489216,2490748.669064939,20.303389282712384,20.297688714262733,0.117783869850009,0.0058011925107645836,20.227856606307498,20.357170840481672,20.237758074794872,20.334760238676783,49.25445643533835,49.26670354551966,0.2846019274857275,0.00577819649394274,49.122745748052594,49.43677603130534,49.17688834158663,49.412588064971956,49.25445643533835,49.26670354551966,0.2846019274857275,0.00577819649394274,49.122745748052594,49.43677603130534,49.17688834158663,49.412588064971956,61440.0,122880.0
libVentra_deque_concurrent_deque_benchmark.json,arena,mmap,ConstructDestroy,,,1,30,30,730094.6719225881,727541.3537343192,4312.446421827532,0.005906694826948114,726859.3329877998,735782.0622407297,726939.2531119615,730613.8060167991,730094.6719225881,727541.3537343192,4312.446421827532,0.005906694826948114,726859.3329877998,735782.0622407297,726939.2531119615,730613.8060167991,722853.1495158935,723301.1804978976,1434.5494085314565,0.001984565481235293,721701.8817427485,723876.4299792156,721987.9387966361,723564.2759336217,730094.6719225881,727541.3537343192,4312.446421827543,0.00590669482694813,726859.3329877998,735782.0622407296,726939.2531119615,730613.8060167991,0.001369731387904922,0.0013744923250108686,8.057282464528754e-06,0.005882381418485855,0.0013590981818510312,0.0013757820194320773,0.0013687176696996978,0.0013756307645394926,0.001369731387904922,0.0013744923250108686,8.057282464528754e-06,0.005882381418485855,0.0013590981818510312,0.0013757820194320773,0.0013687176696996978,0.0013756307645394926,1.0,1.0
libVentra_deque_concurrent_deque_benchmark.json,arena,new/delete,AllocateReleaseUnpublished,operations,512.0,1,30,30,5163.684395390726,5162.698688569033,6.784151973525082,0.0013138200273395558,5158.852005591208,5167.639955053128,5160.221442723565,5165.742821873142,5163.684395390726,5162.698688569033,6.784151973525082,0.0013138200273395558,5158.852005591208,5167.639955053128,5160.221442723565,5165.742821873142,5150.985580164414,5149.57564758416,6.5382556946717365,0.0012693212964620727,5146.662169554672,5155.19547282512,5147.774557927734,5153.384292388655,5.042660542373756,5.041697938055696,0.006625148411645495,0.0013138200273395374,5.037941411710164,5.04652339360657,5.039278752659731,5.04467072448549,198.30834506055228,198.34587782223988,0.2602720123466767,0.0013124612192553175,198.15622011773814,198.49377386232206,198.2290036693906,198.44109796052066,198.30834506055228,198.34587782223988,0.2602720123466767,0.0013124612192553175,198.15622011773814,198.49377386232206,198.2290036693906,198.44109796052066,512.0,1024.0
